epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0155,0.86438,2.9144,1.14632,0.49697,0.60007,0.61261,0.45974,0.81161,1.67439,0.97692,0.000405983,0.000405983,0.000405983
2,28.9179,0.71338,0.76681,0.95962,0.44757,0.61347,0.4712,0.31115,0.98418,2.58588,1.24224,0.00081722,0.00081722,0.00081722
3,40.9337,0.70173,0.69172,0.96637,0.43281,0.29113,0.39588,0.30098,1.01414,3.35961,1.32839,0.00122296,0.00122296,0.00122296
4,52.7292,0.73362,0.68784,0.96173,0.61052,0.8798,0.82838,0.62207,0.90904,2.84276,1.03932,0.00122525,0.00122525,0.00122525
5,64.9054,0.6883,0.6261,0.94699,0.78537,0.76569,0.70842,0.54322,0.87274,1.24967,1.04301,0.001217,0.001217,0.001217
6,76.7108,0.65167,0.58332,0.92991,0.44392,0.79746,0.70378,0.54829,0.85784,1.36495,1.00672,0.00120875,0.00120875,0.00120875
7,89.0032,0.62944,0.58787,0.93114,0.46928,0.59399,0.49376,0.36544,1.28899,inf,1.375,0.0012005,0.0012005,0.0012005
8,100.742,0.63754,0.5526,0.92736,0.9067,0.89434,0.90522,0.70407,0.76905,0.70855,0.93053,0.00119225,0.00119225,0.00119225
9,112.691,0.59907,0.51199,0.92187,0.73633,0.80092,0.91851,0.69953,0.77027,0.69561,0.9051,0.001184,0.001184,0.001184
10,124.532,0.55093,0.47638,0.90449,0.89855,0.94444,0.92243,0.75359,0.6344,0.56633,0.86186,0.00117575,0.00117575,0.00117575
11,136.481,0.56963,0.49763,0.90271,0.88449,0.94676,0.90894,0.77495,0.6106,0.66277,0.87357,0.0011675,0.0011675,0.0011675
12,148.527,0.57672,0.49743,0.91258,0.57823,0.88086,0.83381,0.65445,0.82316,1.06894,0.9237,0.00115925,0.00115925,0.00115925
13,160.365,0.53793,0.46668,0.89997,0.94482,0.9503,0.92437,0.76264,0.70394,0.56728,0.89246,0.001151,0.001151,0.001151
14,172.086,0.54368,0.45107,0.89684,0.82478,0.92424,0.90068,0.75452,0.60544,0.84429,0.85886,0.00114275,0.00114275,0.00114275
15,183.79,0.53524,0.44083,0.8913,0.88591,0.94839,0.92032,0.75837,0.6017,0.57462,0.84412,0.0011345,0.0011345,0.0011345
16,195.585,0.52233,0.42849,0.89368,0.94616,0.9503,0.92587,0.76409,0.66453,0.51468,0.86725,0.00112625,0.00112625,0.00112625
17,207.44,0.51195,0.43136,0.89271,0.94582,0.95096,0.92827,0.78438,0.55579,0.52111,0.85512,0.001118,0.001118,0.001118
18,219.482,0.50662,0.42182,0.89194,0.92657,0.94476,0.92686,0.79289,0.53488,0.51797,0.83574,0.00110975,0.00110975,0.00110975
19,231.733,0.52933,0.44446,0.89138,0.92809,0.90631,0.92108,0.77924,0.53626,0.565,0.84176,0.0011015,0.0011015,0.0011015
20,243.65,0.50738,0.41887,0.88897,0.94019,0.94908,0.93148,0.78662,0.57642,0.50989,0.85081,0.00109325,0.00109325,0.00109325
21,255.829,0.50629,0.42393,0.89338,0.94781,0.94699,0.92625,0.75184,0.71299,0.55493,0.86393,0.001085,0.001085,0.001085
22,267.636,0.4795,0.39967,0.87572,0.91541,0.9503,0.92422,0.79024,0.52029,0.49619,0.8254,0.00107675,0.00107675,0.00107675
23,279.506,0.49623,0.42655,0.88706,0.93999,0.94632,0.93049,0.81323,0.47653,0.47114,0.81782,0.0010685,0.0010685,0.0010685
24,291.405,0.49128,0.40208,0.87851,0.937,0.94853,0.92221,0.79083,0.50893,0.54948,0.82244,0.00106025,0.00106025,0.00106025
25,303.259,0.48275,0.39424,0.8762,0.94259,0.94524,0.93639,0.81753,0.4962,0.47338,0.8184,0.001052,0.001052,0.001052
26,315.621,0.47464,0.38893,0.88223,0.92752,0.93674,0.91929,0.7957,0.44946,0.48303,0.81052,0.00104375,0.00104375,0.00104375
27,327.508,0.48231,0.39503,0.88561,0.93112,0.93706,0.92118,0.78134,0.54567,0.49444,0.83012,0.0010355,0.0010355,0.0010355
28,339.455,0.48304,0.39036,0.88469,0.94217,0.9503,0.92696,0.81362,0.48142,0.49006,0.8113,0.00102725,0.00102725,0.00102725
29,351.233,0.46759,0.39606,0.87686,0.93304,0.93535,0.92971,0.77712,0.5272,0.49282,0.82376,0.001019,0.001019,0.001019
30,363.159,0.47869,0.36773,0.87859,0.93754,0.949,0.93201,0.80408,0.55921,0.48343,0.82411,0.00101075,0.00101075,0.00101075
31,375.065,0.46413,0.37278,0.86674,0.93028,0.9503,0.93205,0.79387,0.58193,0.48933,0.8242,0.0010025,0.0010025,0.0010025
32,386.886,0.46317,0.39622,0.88468,0.94599,0.94475,0.92555,0.8218,0.46095,0.47749,0.80822,0.00099425,0.00099425,0.00099425
33,399.222,0.4382,0.36278,0.8663,0.9438,0.94475,0.92386,0.8208,0.42452,0.47678,0.80944,0.000986,0.000986,0.000986
34,411.25,0.46275,0.36953,0.8667,0.94568,0.95008,0.92282,0.81641,0.47389,0.50239,0.82607,0.00097775,0.00097775,0.00097775
35,423.145,0.46452,0.37242,0.87054,0.95067,0.95026,0.92996,0.82268,0.44916,0.4567,0.81013,0.0009695,0.0009695,0.0009695
36,435.095,0.43766,0.35595,0.86945,0.93769,0.9503,0.92285,0.79888,0.4987,0.48273,0.82457,0.00096125,0.00096125,0.00096125
37,446.968,0.44719,0.37137,0.87088,0.94824,0.94983,0.9296,0.79677,0.56362,0.47268,0.83071,0.000953,0.000953,0.000953
38,458.833,0.43484,0.35143,0.87071,0.9409,0.9483,0.93215,0.80053,0.58286,0.49751,0.84034,0.00094475,0.00094475,0.00094475
39,470.776,0.44712,0.37533,0.86147,0.94416,0.9503,0.92588,0.82218,0.44945,0.47435,0.812,0.0009365,0.0009365,0.0009365
40,482.574,0.44764,0.3619,0.87361,0.94921,0.9503,0.92231,0.79001,0.51858,0.48229,0.81667,0.00092825,0.00092825,0.00092825
41,494.561,0.44382,0.3604,0.87421,0.94537,0.94831,0.93423,0.79915,0.50422,0.4777,0.8113,0.00092,0.00092,0.00092
42,506.482,0.44653,0.37742,0.86526,0.94182,0.9503,0.92313,0.7973,0.56484,0.49616,0.82876,0.00091175,0.00091175,0.00091175
43,518.348,0.42164,0.36505,0.86587,0.94178,0.94298,0.9244,0.76832,0.62824,0.50023,0.84152,0.0009035,0.0009035,0.0009035
44,529.853,0.4223,0.35635,0.86811,0.94138,0.94222,0.93022,0.7933,0.54481,0.49088,0.83438,0.00089525,0.00089525,0.00089525
45,541.645,0.44249,0.36511,0.86907,0.94825,0.94667,0.92126,0.80963,0.49568,0.47026,0.8091,0.000887,0.000887,0.000887
46,553.545,0.42562,0.34933,0.86368,0.94506,0.9459,0.93334,0.79481,0.52612,0.47485,0.81613,0.00087875,0.00087875,0.00087875
47,565.384,0.42371,0.33559,0.86103,0.94877,0.94853,0.9328,0.80716,0.48913,0.47376,0.81188,0.0008705,0.0008705,0.0008705
48,577.141,0.44022,0.3575,0.86811,0.94617,0.94931,0.92429,0.8205,0.45239,0.44807,0.80679,0.00086225,0.00086225,0.00086225
49,589.147,0.43042,0.34551,0.86595,0.94118,0.9469,0.92355,0.81666,0.4226,0.44678,0.80393,0.000854,0.000854,0.000854
50,600.77,0.43376,0.3407,0.86922,0.94441,0.9503,0.93103,0.8172,0.45385,0.44803,0.81029,0.00084575,0.00084575,0.00084575
51,612.938,0.42273,0.34611,0.86041,0.95013,0.94902,0.93046,0.8156,0.44358,0.46055,0.80043,0.0008375,0.0008375,0.0008375
