epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5714,0.77178,2.18954,1.22792,0.83104,0.62483,0.69298,0.59812,0.50498,1.52,0.99697,0.000216775,0.000216775,0.000216775
2,27.4795,0.56471,0.70701,1.05243,0.87262,0.7358,0.92162,0.82481,0.45017,0.64059,0.99378,0.00043621,0.00043621,0.00043621
3,37.8333,0.55497,0.61102,1.05217,0.85854,0.93666,0.91454,0.80273,0.50341,0.53939,1.02325,0.000652711,0.000652711,0.000652711
4,47.6828,0.56255,0.5981,1.05347,0.88879,0.66345,0.91992,0.73476,0.69564,0.97778,1.15743,0.000653793,0.000653793,0.000653793
5,57.5237,0.55076,0.55754,1.04516,0.85116,0.94413,0.93923,0.82988,0.46799,0.4774,1.00657,0.000649391,0.000649391,0.000649391
6,67.6899,0.54664,0.55521,1.04338,0.75384,0.89355,0.9311,0.86306,0.38227,0.4057,0.93003,0.000644989,0.000644989,0.000644989
7,77.8622,0.53205,0.51312,1.03147,0.94539,0.96317,0.97068,0.88942,0.44071,0.37455,0.98197,0.000640587,0.000640587,0.000640587
8,88.0478,0.51724,0.4893,1.02444,0.96448,0.8921,0.95945,0.88151,0.4092,0.33989,0.95162,0.000636185,0.000636185,0.000636185
9,97.7083,0.50864,0.48276,1.017,0.88794,0.96667,0.98653,0.91248,0.38719,0.31715,0.96281,0.000631782,0.000631782,0.000631782
10,107.686,0.50443,0.47,1.01237,0.87308,0.92821,0.95365,0.87751,0.36113,0.34476,0.92031,0.00062738,0.00062738,0.00062738
11,117.467,0.48695,0.45442,1.0039,0.91307,0.99442,0.995,0.92188,0.35521,0.29736,0.90728,0.000622978,0.000622978,0.000622978
12,127.58,0.48921,0.44874,1.00465,0.91239,0.9935,0.99476,0.90883,0.41537,0.31667,0.94546,0.000618576,0.000618576,0.000618576
13,137.422,0.47727,0.42088,0.9993,0.96895,0.93221,0.97458,0.88463,0.44015,0.32339,0.97356,0.000614174,0.000614174,0.000614174
14,147.209,0.48287,0.42975,1.0004,0.87754,0.97324,0.9947,0.9384,0.33161,0.28389,0.88857,0.000609771,0.000609771,0.000609771
15,157.195,0.46819,0.42601,0.99634,0.83934,0.97156,0.99446,0.93532,0.36095,0.30436,0.91592,0.000605369,0.000605369,0.000605369
16,166.981,0.45931,0.40753,0.98852,0.93157,0.95475,0.94445,0.90562,0.3106,0.29705,0.88802,0.000600967,0.000600967,0.000600967
17,176.626,0.45578,0.40668,0.98422,0.8958,0.96309,0.92645,0.88145,0.32603,0.34297,0.87877,0.000596565,0.000596565,0.000596565
18,186.485,0.45564,0.4047,0.99038,0.82236,0.98836,0.98844,0.91113,0.34356,0.33698,0.9153,0.000592163,0.000592163,0.000592163
19,196.291,0.45788,0.40762,0.98864,0.89556,0.96133,0.97074,0.90846,0.32737,0.2513,0.87931,0.00058776,0.00058776,0.00058776
20,206.041,0.4519,0.38829,0.98337,0.87437,0.98906,0.99436,0.92251,0.37082,0.29903,0.9205,0.000583358,0.000583358,0.000583358
21,216.074,0.45077,0.39984,0.98075,0.88613,0.96384,0.92844,0.88954,0.29106,0.2506,0.87537,0.000578956,0.000578956,0.000578956
22,225.912,0.44467,0.38324,0.98199,0.91449,0.95211,0.99344,0.95624,0.27722,0.2607,0.86207,0.000574554,0.000574554,0.000574554
23,236.01,0.45046,0.38656,0.98159,0.82182,0.94513,0.9198,0.8821,0.30523,0.26842,0.87904,0.000570152,0.000570152,0.000570152
24,245.826,0.44503,0.3813,0.97933,0.93358,0.93011,0.96972,0.93063,0.28483,0.25274,0.86035,0.000565749,0.000565749,0.000565749
25,255.698,0.44154,0.37765,0.97862,0.91875,0.98939,0.92837,0.89324,0.28715,0.24238,0.86728,0.000561347,0.000561347,0.000561347
26,265.765,0.42949,0.36403,0.96949,0.89375,0.98746,0.92793,0.87792,0.29771,0.23616,0.86122,0.000556945,0.000556945,0.000556945
27,275.602,0.42544,0.35834,0.96925,0.88388,0.98477,0.99407,0.96845,0.2703,0.22831,0.85986,0.000552543,0.000552543,0.000552543
28,285.589,0.43483,0.37564,0.97754,0.87695,0.98166,0.99475,0.93935,0.32188,0.24224,0.88356,0.000548141,0.000548141,0.000548141
29,295.337,0.44401,0.37412,0.97772,0.96824,0.93029,0.96141,0.93242,0.28915,0.2395,0.86352,0.000543738,0.000543738,0.000543738
30,305.061,0.42651,0.37,0.97666,0.88308,0.98742,0.9949,0.96511,0.26153,0.22364,0.85269,0.000539336,0.000539336,0.000539336
31,315.025,0.42481,0.35709,0.96914,0.90946,0.96667,0.98657,0.9565,0.27447,0.2276,0.85024,0.000534934,0.000534934,0.000534934
32,325.014,0.4187,0.35248,0.96697,0.90605,0.95191,0.96533,0.93363,0.27777,0.24566,0.86064,0.000530532,0.000530532,0.000530532
33,334.75,0.41868,0.35914,0.96626,0.91727,0.93333,0.96572,0.93491,0.28403,0.23161,0.85309,0.00052613,0.00052613,0.00052613
