epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,806.131,0.40053,0.33793,0.95534,0.9006,0.96324,0.97804,0.93261,0.13943,1.08026,0.43148,0.00048651,0.00048651,0.00048651
43,825.387,0.39542,0.33838,0.94756,0.94453,0.95113,0.99392,0.97477,0.12307,0.78032,0.41938,0.000482108,0.000482108,0.000482108
44,844.55,0.40518,0.34582,0.95938,0.88751,0.9829,0.92722,0.89899,0.12949,0.12199,0.42782,0.000477705,0.000477705,0.000477705
45,864.491,0.40176,0.34631,0.95574,0.94955,0.96265,0.9944,0.96894,0.12086,0.14471,0.42149,0.000473303,0.000473303,0.000473303
46,883.458,0.40272,0.34606,0.95915,0.90334,0.97663,0.92839,0.89793,0.14064,0.33218,0.43037,0.000468901,0.000468901,0.000468901
47,902.73,0.40355,0.34744,0.95295,0.891,0.98737,0.92662,0.89854,0.12897,0.13784,0.42026,0.000464499,0.000464499,0.000464499
48,921.584,0.39791,0.34159,0.95399,0.89759,0.96403,0.93514,0.9046,0.12602,0.3392,0.42477,0.000460097,0.000460097,0.000460097
49,940.744,0.39379,0.32516,0.95142,0.89973,0.97982,0.92794,0.91385,0.11351,0.18911,0.41374,0.000455694,0.000455694,0.000455694
50,960.204,0.39378,0.32488,0.94669,0.918,0.95647,0.91475,0.88871,0.1138,0.12225,0.41508,0.000451292,0.000451292,0.000451292
51,979.429,0.39453,0.33009,0.95011,0.91174,0.9641,0.98647,0.95551,0.12864,0.11724,0.42785,0.00044689,0.00044689,0.00044689
52,998.391,0.39451,0.32877,0.94798,0.91967,0.95502,0.96799,0.94811,0.11638,0.20301,0.4174,0.000442488,0.000442488,0.000442488
53,1017.61,0.38095,0.31749,0.94241,0.95092,0.95201,0.9741,0.94654,0.11228,0.28955,0.41406,0.000438086,0.000438086,0.000438086
54,1037.32,0.39438,0.33187,0.95043,0.9212,0.99241,0.92837,0.9118,0.1124,0.18389,0.41811,0.000433683,0.000433683,0.000433683
55,1056.45,0.39587,0.32422,0.94962,0.89982,0.9633,0.9759,0.95734,0.11271,0.3188,0.4194,0.000429281,0.000429281,0.000429281
56,1075.57,0.38605,0.31635,0.9475,0.91236,0.96006,0.92606,0.90563,0.13005,0.12219,0.42506,0.000424879,0.000424879,0.000424879
